""	"SRR12534940"	"SRR12534942"	"SRR12534944"	"SRR12534946"	"SRR12534964"	"SRR12534966"	"SRR12534968"	"SRR12534970"
"1433b"	4576	3958	3349	4149	3868	3639	4144	3123
"143b2"	3362	3227	2708	3220	3360	3274	3277	3155
"143g1"	16	25	16	17	12	9	22	20
"143g2"	8	7	6	4	7	3	3	5
"2a5e"	547	666	425	737	558	690	523	671
"4f2"	2936	2988	2181	2782	2250	1213	2135	1841
"5nt1a"	51	42	50	52	84	180	98	295
"5ntc"	448	474	429	236	288	357	390	290
"7b2"	238	171	200	211	207	163	160	147
"a1cf"	43	23	26	36	17	33	45	28
"a9a1b"	42	46	44	42	39	42	38	31
"aaad"	0	1	0	0	0	0	1	1
"aaas"	3854	3939	3867	4173	3590	3528	3762	2891
"aacs"	2458	2018	2070	2193	2539	2144	2604	1881
"aadac"	4197	3244	3709	3881	3670	3373	4370	2962
"aadacl4"	59	58	56	66	38	35	51	30
"aadat"	435	437	385	528	378	334	401	378
"aagab"	6	5	6	7	5	4	12	4
"aakb1"	2317	2147	2078	2386	1854	1991	1973	1717
"aamdc"	159	207	113	207	170	204	241	147
"aanat1"	31	25	11	5	14	16	26	14
"aar2"	965	964	968	989	1101	961	1141	941
"aars1"	7453	6926	6292	7084	6086	5160	6510	4400
"aars2"	3784	1393	1748	3124	2400	1072	1222	1558
"aarsd1"	1044	872	795	840	788	735	769	642
"aasdh"	1933	1838	1588	1684	1619	1222	1466	1021
"aasdhppt"	1651	1150	1141	1614	1042	1037	1241	883
"aass"	3615	3541	3359	3460	3548	2908	3606	2599
"aatkb"	52	33	29	31	43	42	41	35
"ab14b"	10	17	19	27	21	61	21	101
"abca12"	600	349	465	321	73	129	492	155
"abca2"	96	168	161	98	148	145	137	101
"abca5"	349	205	210	294	340	294	288	295
"abca7"	443	403	346	401	461	513	429	308
"abcb11a"	1	1	6	0	0	0	0	0
"abcb3"	0	0	0	0	1	0	0	0
"abcb5"	0	0	0	0	0	0	0	0
"abcb7"	3905	3213	3313	3354	3769	3340	3591	2673
"abcb8"	444	428	308	400	348	420	368	427
"abcb9"	54	31	26	46	31	26	43	33
"abcc12"	0	1	0	0	0	1	2	9
"abcc13"	928	543	729	372	594	427	407	200
"abcc2"	122	682	71	77	61	56	77	56
"abcc3"	1432	984	837	1093	988	958	806	838
"abcc9"	6	7	12	5	37	58	24	39
"abcd1"	678	905	905	655	213	695	816	537
"abcd4"	370	388	406	461	356	422	497	471
"abce1"	4490	4841	4001	4301	3868	3663	3766	2977
"abcf1"	5416	4266	3768	4404	4187	3511	3679	3007
"abcf2a"	5325	5134	4787	5135	5330	4937	5432	4277
"abcg1"	106	124	68	109	109	93	52	38
"abcg2"	10	20	16	9	15	61	36	18
"abcg4a"	5	6	6	6	4	9	10	6
"abcg5"	20	14	13	15	26	6	26	16
"abcg8"	27	36	28	31	22	34	25	24
"abch1"	2	6	6	7	25	51	25	64
"abhd10a"	4696	3723	3151	4075	3448	2861	2947	2214
"abhd10b"	650	543	753	715	765	628	595	462
"abhd11"	657	749	810	584	734	717	755	481
"abhd12"	2350	2251	2116	2480	2335	2083	2044	1880
"abhd17b"	2651	2718	2643	2417	2430	2327	3005	1543
"abhd17c"	372	516	573	349	521	578	850	589
"abhd18"	3334	3508	2849	3012	3168	3026	3393	2544
"abhd2b"	3766	3394	3611	3443	3384	2767	3736	2473
"abhd4"	2439	2424	2479	2398	2542	2036	2497	1715
"abhd6"	94	59	3	62	72	1	86	84
"abhd6b"	84	72	70	44	18	56	66	41
"abhd8b"	457	555	473	409	575	507	530	395
"abhea"	343	348	335	323	331	353	366	298
"abi1"	11	14	19	14	19	61	58	222
"abi3b"	23	21	31	15	27	29	31	15
"abitram"	1272	995	961	1233	800	747	781	582
"ablim1a"	19	7	9	11	14	10	11	27
"abr"	1210	1081	991	936	1202	1257	1144	1042
"abraa"	0	0	0	0	0	0	0	0
"abrab"	0	0	0	0	0	0	0	0
"abracl"	1085	1010	806	896	978	982	702	751
"abraxas1"	6	6	8	12	10	12	14	7
"abraxas2"	1018	799	954	962	882	726	908	634
"abt1"	1325	1213	1085	1415	1359	1155	1012	853
"abtb1"	408	403	327	482	494	440	527	359
"abtb2b"	75	36	69	64	33	55	78	59
"acaa1"	647	433	448	261	544	757	650	647
"acaa2"	11690	12626	10178	11176	9197	9663	10470	7117
"acaca"	4462	3013	3464	3263	3316	2345	2872	2015
"acad11"	18	12	8	6	8	3	11	5
"acad8"	653	693	557	754	706	589	624	534
"acad9"	906	619	330	498	484	493	358	497
"acadm"	8732	8289	6126	9064	7751	6970	6988	5614
"acadsb"	7	8	9	7	16	16	16	14
"acadvl"	816	810	882	498	1084	872	1102	1002
"acap1"	1471	1558	1481	1471	1558	1221	1460	1303
"acap3a"	752	710	595	657	825	708	677	709
"acat1"	1253	1550	1299	1426	1496	1619	1498	1810
"acat2"	189	195	178	208	205	223	244	186
"acbd3"	1682	1446	1399	1559	1508	1559	1590	1238
"acbd4"	285	326	262	365	336	277	278	277
"acbd6"	709	242	484	548	335	214	349	198
"acbd7"	16	15	10	16	18	19	16	6
"accs"	759	766	800	680	802	763	827	610
"acd"	6460	4990	5022	6412	4842	3682	4965	3075
"acd10"	1	2	1	1	3	1	1	1
"acer1"	0	0	0	0	0	2	0	0
"acer2"	173	164	201	203	259	201	230	229
"ache"	40	73	52	43	18	32	56	25
"acin1a"	4581	3855	3767	3453	6139	5369	5815	4254
"acin1b"	2260	1937	1811	1651	2408	2201	2276	1716
"ackr3b"	24	29	20	15	34	38	52	34
"ackr4b"	2	263	0	0	247	0	0	89
"acmsd"	15	18	16	12	21	27	17	16
"aco1"	5022	4828	4402	5101	4880	4230	5037	3354
"acod"	223	173	209	196	274	221	312	196
"acod1"	13	4	101	17	16	13	9	262
"acot11a"	77	71	79	57	88	99	98	99
"acot11b"	2109	1996	1689	1812	1585	1867	1928	1145
"acot13"	26	23	21	25	23	47	39	70
"acot5"	1002	719	885	845	667	566	792	430
"acot7"	28	38	30	30	39	53	51	186
"acot8"	25	36	60	22	54	44	72	51
"acox3"	726	721	623	741	619	728	740	588
"acoxl"	759	755	599	464	652	522	593	446
"acp1"	1172	900	692	1001	881	719	701	831
"acp5b"	9	8	6	10	17	26	15	61
"acp7"	419	361	230	349	368	461	334	437
"acpl2"	23	53	30	17	40	84	48	53
"acsf2"	220	170	135	173	170	259	164	269
"acsf3"	799	800	680	726	704	797	869	566
"acsl1a"	7263	7318	5894	7511	6923	6359	7260	4852
"acsl2"	107	70	52	141	96	63	161	48
"acsl4"	501	594	486	496	629	547	558	594
"acsl5"	213	194	112	151	128	27	80	100
"acsm3"	75	55	47	61	73	114	69	145
"acss1"	113	151	118	141	268	466	308	1303
"acss2l"	1026	793	844	342	633	446	372	481
"acta2"	604	332	294	361	704	1459	377	965
"actc1a"	68	168	61	76	186	273	124	161
"actc2"	3	8	11	11	5	8	7	3
"acte1"	12	11	13	20	12	2	10	6
"actl6a"	1915	1965	1487	1977	1759	1628	1932	1541
"actn1"	259	285	219	252	408	472	319	661
"actn3b"	4	5	4	5	3	6	4	7
"actr1b"	1689	1445	1303	1539	1617	1605	1664	1435
"actr2a"	1532	1589	1628	1532	1573	1483	1729	1580
"actr3b"	39	27	33	19	35	37	37	44
"actr5"	844	825	670	819	769	682	776	613
"actr6"	1537	1272	1271	1411	1111	1052	1050	910
"actr8"	399	329	302	314	337	479	400	526
"acty"	720	757	618	673	732	681	779	612
"acv1b"	2302	2196	2115	2093	2371	1954	2512	1638
"acvr1l"	831	697	546	679	582	564	715	475
"acvrl1"	70	67	62	56	143	274	157	344
"acy1"	5536	4610	4240	5247	4609	4266	4455	3500
"acy3"	9	5	4	5	4	8	3	15
"acyp1"	144	150	108	126	132	131	112	93
"acyp2"	267	166	122	202	181	121	99	111
"ada2"	589	642	592	847	702	593	659	633
"ada2b"	85	66	55	73	123	399	114	672
"adad1"	2454	2232	2098	1969	1751	1523	1588	1013
"adad2"	3339	3280	3023	3485	2699	2477	3343	2036
"adal"	82	102	53	72	113	217	100	159
"adam10a"	398	379	378	383	430	418	403	423
"adam12b"	7	10	9	13	20	20	19	24
"adam15"	2049	1425	1911	2159	1723	1508	1720	932
"adam17b"	491	500	617	686	490	473	692	508
"adam19a"	126	145	127	112	223	423	299	725
"adam28"	342	294	282	277	265	257	338	322
"adam9"	851	779	767	757	995	905	1012	1002
"adamts1"	5	14	17	13	40	61	61	115
"adamts12"	40	35	40	23	121	63	75	77
"adamts13"	38	56	49	35	31	31	41	30
"adamts15a"	36	34	50	42	76	154	56	135
"adamts18"	2	4	2	2	1	1	1	2
"adamts2a"	11	29	23	6	12	22	16	19
"adamts3"	14	14	25	15	23	47	13	47
"adamts9"	14	27	12	16	37	76	67	65
"adamtsl2"	4	1	3	0	7	5	5	7
"adamtsl5"	406	512	470	261	309	514	554	441
"adamtsl7"	0	0	0	0	0	0	0	0
"adarb1b"	323	235	252	228	303	198	245	255
"adarb2"	5	2	2	6	4	3	9	0
"adat1"	762	461	539	436	502	456	628	399
"adat2"	578	466	447	530	511	389	365	343
"adat3"	0	0	0	0	2	2	1	0
"adb4c"	0	0	0	7	6	2	1	5
"adck1"	1091	982	951	1051	883	538	1010	551
"adck2"	1874	1705	1452	1436	1978	1502	1751	1226
"adcy1a"	2	0	0	0	2	1	2	0
"adcy6a"	4	4	4	4	6	15	4	18
"adcy8"	208	214	255	175	143	79	166	99
"adcyap1r1b"	2	2	3	4	3	5	5	7
"addb"	90	52	75	62	55	33	62	59
"adf1"	638	472	586	497	497	518	451	310
"adgb"	900	1032	917	939	1002	798	947	658
"adgra1a"	2	1	4	5	3	6	4	1
"adgra2"	303	252	229	385	295	373	360	303
"adgrd2"	4	5	13	2	13	4	12	8
"adgrf3a"	35	23	21	21	21	11	15	10
"adgrl1a"	5	5	4	5	4	5	8	11
"adgrl2a"	157	83	141	121	89	92	126	93
"adgrl4"	76	72	51	104	176	359	177	464
"adgrv1"	73	53	43	53	74	47	57	63
"adhfe1"	86	149	120	207	236	118	135	106
"adhx"	4347	4517	3926	4228	4086	4306	3903	3461
"adi1"	1077	691	730	1045	834	710	647	573
"adipoqa"	0	0	1	0	0	0	0	0
"adipoqb"	2	4	4	6	0	4	2	2
"adkb"	59	67	59	67	57	51	54	55
"adm2b"	22	177	21	12	27	5	10	7
"adnpb"	3179	3381	3063	2920	3371	2991	3325	2308
"adora1b"	2	1	0	3	1	0	0	0
"adora2aa"	45	41	48	31	23	40	46	38
"adora2b"	37	23	80	20	38	7	41	83
"adpgk"	1086	1081	1233	1101	1098	880	1070	826
"adprh"	1	4	1	0	5	4	3	5
"adprm"	633	549	457	597	621	480	519	439
"adprs"	1520	1456	1317	1608	1384	1303	1394	1117
"adr1"	673	845	736	649	819	803	925	797
"adra1ab"	0	0	2	0	0	0	0	0
"adra2b"	0	3	4	2	3	2	0	0
"adra2c"	0	0	0	0	0	0	0	0
"adrb2a"	0	0	0	0	0	1	1	0
"adrm1"	3392	3036	2960	3090	2972	2881	2837	2547
"adss1"	20	12	8	26	7	10	8	0
"adss2"	408	633	466	538	746	469	551	460
"adssl1"	6	23	24	27	45	59	40	72
"adtrp1"	804	856	902	1002	910	638	746	713
"aedo"	1389	1259	931	1183	1022	950	1004	770
"afap1"	17	19	22	24	46	79	42	143
"afap1l1b"	2592	1986	1978	2183	2231	2039	2393	1547
"afap1l2"	625	438	653	712	517	527	524	502
"afdna"	2105	1779	2000	1864	2321	2119	2549	1806
"aff3"	31	23	25	42	75	192	69	317
"aff4"	114	150	125	133	203	299	284	305
"afg1lb"	222	199	153	233	169	214	177	188
"afg3l2"	2005	2136	2115	1983	1965	2030	1997	1372
"afmid"	581	439	251	408	263	466	184	188
"afp4"	94	53	42	73	72	66	63	67
"aga"	156	86	172	190	159	156	95	247
"agap1"	408	423	336	360	470	290	415	291
"agbl2"	1059	974	984	1001	872	723	902	684
"agbl5"	640	556	661	600	750	727	822	605
"agfg1b"	1234	1127	1391	1135	1305	1233	1430	982
"aggf1"	1077	820	791	902	1013	788	800	793
"agk"	1293	1199	991	1270	1092	981	1159	841
"agmat"	29	41	30	44	25	34	25	21
"ago2"	62	86	90	59	123	202	130	177
"ago4"	101	184	101	91	138	157	166	133
"agpat2"	706	670	715	620	744	685	909	512
"agpat4"	341	204	287	284	194	184	216	161
"agpat9l"	2109	1749	1762	2078	1694	1419	1463	1179
"agps"	366	391	383	424	500	498	438	500
"agr2"	26	11	11	36	6	5	7	8
"agrn"	185	184	190	183	352	473	400	581
"agrp"	2	2	0	0	1	1	0	0
"agt"	85	122	79	73	62	90	63	179
"agtpbp1"	499	435	411	409	397	364	439	269
"agtr2"	133	58	75	85	86	89	79	63
"agxt2"	703	688	585	704	644	502	499	371
"agxtb"	123	93	87	95	70	90	91	65
"ahcy"	8	11	6	4	8	13	9	14
"ahdc1"	2	1	2	4	2	4	1	2
"ahi1"	1222	1093	1126	1010	1222	1121	1135	907
"ahnak"	558	567	524	700	1053	2205	823	2331
"ahr1"	2	6	1	5	9	10	6	14
"ahr1a"	111	143	136	137	167	105	152	104
"ahr1b"	22	17	19	27	15	32	37	21
"ahr2a"	63	46	72	55	97	165	95	155
"ahr2b"	56	62	58	77	151	224	170	314
"ahr2d"	63	61	67	91	160	324	209	397
"ahr2g"	76	93	80	86	217	336	225	554
"ahsa1a"	2254	1790	1569	1854	1445	1477	1360	1347
"ahsg1"	410	443	422	340	356	386	315	290
"ahsg2"	406	626	571	413	376	638	508	374
"aida"	296	238	264	327	347	344	311	345
"aidb"	322	311	310	361	236	361	328	408
"aif1"	19	34	26	33	70	141	52	331
"aif1l"	63	51	75	54	48	67	52	49
"aifm1"	6132	5019	4765	4985	5123	4475	4644	3758
"aifm2"	9619	9072	7854	9273	7619	6845	7129	5355
"aifm4"	335	287	263	316	215	271	272	282
"aifm5"	3	0	1	1	2	4	1	0
"aig1"	2	0	2	1	1	2	1	3
"aimp1a"	1224	1039	697	911	1034	843	968	754
"aimp1b"	6	8	10	12	9	5	7	2
"aip"	1137	1286	1158	1081	1341	1381	1164	1102
"aipl1"	69	33	29	86	101	21	35	30
"aire"	1	0	0	2	1	3	3	0
"ajap1"	41	39	10	10	13	19	10	10
"ajm1"	2	1	2	7	5	4	6	1
"ak3"	325	415	382	350	405	336	373	266
"ak4"	11	10	9	9	31	29	30	37
"ak5"	403	336	415	342	307	541	316	253
"ak5l"	0	0	0	0	0	0	0	0
"ak6"	833	759	613	811	713	690	737	481
"ak7b"	498	505	356	634	403	328	329	266
"ak8"	95	116	100	81	44	84	95	46
"ak9"	506	339	689	826	579	302	719	197
"akap10"	865	1060	919	818	1067	1053	1088	849
"akap11"	2139	1997	1737	1796	2313	1834	2196	1456
"akap12a"	5	6	1	7	8	32	5	21
"akap12b"	163	190	179	195	351	587	399	1075
"akap14"	0	0	0	0	0	0	0	0
"akap17a"	331	70	85	94	156	198	144	203
"akap1b"	7313	7144	6544	6897	6604	5609	6584	4176
"akap7"	5	9	9	3	10	6	3	4
"akap9"	4362	3165	3062	2813	3742	3989	3806	2586
"akna"	283	201	251	297	220	198	324	181
"akr1a1a"	1	2	0	3	1	2	2	0
"akr1d1"	113	99	74	114	64	80	68	100
"akr7a3"	586	617	484	618	727	598	701	692
"akt2"	1564	1462	1398	1471	1719	1540	1646	1146
"akt3a"	606	418	362	431	458	356	460	334
"aktip"	4421	4287	3889	4271	3868	3610	4158	3054
"akts1"	1586	1499	1237	1671	1365	1181	1313	868
"al2s4"	1	0	2	1	0	1	0	2
